Attack_500_filtered_NoAnonymBodies_NoPT_NoPTeval_SW100-25
28/07/2021 10:23:16
Time,Epoch,dev
30/07/2021 09:44:20,1,20.000,86.000,14.000,16.000,62.000,28.000,32.000,16.000,8.000
30/07/2021 09:45:50,2,33.333,88.000,32.000,26.000,74.000,40.000,52.000,22.000,16.000
30/07/2021 09:47:21,3,46.667,98.000,40.000,36.000,78.000,52.000,62.000,24.000,12.000
30/07/2021 09:48:50,4,46.667,100.000,38.000,32.000,80.000,52.000,60.000,20.000,18.000
30/07/2021 09:50:20,5,46.667,100.000,54.000,44.000,86.000,58.000,70.000,20.000,20.000
30/07/2021 09:51:48,6,46.667,100.000,48.000,40.000,80.000,52.000,70.000,18.000,22.000
30/07/2021 09:53:17,7,53.333,100.000,50.000,46.000,78.000,52.000,70.000,24.000,14.000
30/07/2021 09:54:45,8,53.333,100.000,54.000,42.000,84.000,54.000,74.000,22.000,18.000
30/07/2021 09:56:14,9,53.333,100.000,58.000,42.000,84.000,54.000,72.000,20.000,18.000
30/07/2021 09:57:42,10,53.333,100.000,54.000,42.000,84.000,54.000,74.000,20.000,18.000
30/07/2021 09:59:11,11,53.333,100.000,54.000,42.000,84.000,54.000,74.000,20.000,18.000
30/07/2021 10:00:39,12,53.333,100.000,52.000,44.000,84.000,54.000,70.000,20.000,16.000
30/07/2021 10:02:08,13,53.333,100.000,54.000,42.000,84.000,54.000,72.000,20.000,16.000
30/07/2021 10:03:36,14,53.333,100.000,54.000,42.000,84.000,54.000,74.000,20.000,18.000
30/07/2021 10:05:04,15,53.333,100.000,54.000,44.000,84.000,54.000,74.000,20.000,16.000
30/07/2021 10:06:32,16,53.333,100.000,54.000,44.000,84.000,54.000,74.000,20.000,16.000
30/07/2021 10:08:01,17,53.333,100.000,52.000,44.000,84.000,54.000,72.000,20.000,16.000
30/07/2021 10:09:30,18,53.333,100.000,54.000,44.000,84.000,54.000,70.000,20.000,16.000
30/07/2021 10:10:58,19,53.333,100.000,52.000,44.000,84.000,54.000,72.000,20.000,20.000
30/07/2021 10:12:26,20,53.333,100.000,52.000,44.000,84.000,54.000,70.000,20.000,20.000
Attack_50_eval_AnonymBodies_PT_nertext3PTeval_SW100-25
30/07/2021 10:22:24
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
30/07/2021 10:23:50,1,20.000,80.000,20.000,16.000,60.000,34.000,30.000,16.000,14.000
30/07/2021 10:25:21,2,33.333,92.000,30.000,26.000,78.000,44.000,50.000,18.000,14.000
30/07/2021 10:26:51,3,33.333,96.000,40.000,40.000,74.000,52.000,60.000,26.000,10.000
30/07/2021 10:28:21,4,46.667,98.000,42.000,36.000,76.000,64.000,68.000,26.000,10.000
30/07/2021 10:29:48,5,53.333,98.000,48.000,50.000,80.000,60.000,66.000,24.000,14.000
30/07/2021 10:31:16,6,53.333,98.000,48.000,46.000,78.000,60.000,70.000,28.000,10.000
30/07/2021 10:32:43,7,53.333,100.000,58.000,48.000,84.000,66.000,76.000,26.000,14.000
30/07/2021 10:34:11,8,53.333,100.000,62.000,48.000,84.000,64.000,78.000,24.000,14.000
30/07/2021 10:35:38,9,60.000,100.000,60.000,44.000,84.000,64.000,76.000,24.000,14.000
30/07/2021 10:37:06,10,60.000,100.000,60.000,50.000,84.000,62.000,78.000,22.000,14.000
